Nhóm Chức Năng,Tên Hàm (Method),Tham số truyền vào (Arguments)
1. Nhập liệu (Input),clearAndFillText,"By by, String value"
1. Nhập liệu (Input),clearText,By by
1. Nhập liệu (Input),clearTextCtrlA,By by
1. Nhập liệu (Input),setText,"By by, String value"
1. Nhập liệu (Input),setText,"By by, String value, Keys keys"
1. Nhập liệu (Input),setTextAlert,String text
1. Nhập liệu (Input),setWindowPosition,"int X, int Y"
1. Nhập liệu (Input),setWindowSize,"int widthPixel, int heightPixel"
10. Trình duyệt & Màn hình,addScreenshotToReport,String screenName
10. Trình duyệt & Màn hình,closeCurrentWindow,
10. Trình duyệt & Màn hình,maximizeWindow,
10. Trình duyệt & Màn hình,minimizeWindow,
10. Trình duyệt & Màn hình,openAndSwitchNewWindow,
10. Trình duyệt & Màn hình,screenshotElement,"By by, String elementName"
10. Trình duyệt & Màn hình,takeElementScreenshot,"By by, String screenName"
10. Trình duyệt & Màn hình,takeFullPageScreenshot,String screenName
2. Tương tác chuột & Phím (Mouse/Keyboard),clickElement,By by
2. Tương tác chuột & Phím (Mouse/Keyboard),clickElement,"By by, int timeout"
2. Tương tác chuột & Phím (Mouse/Keyboard),clickElementWithJs,By by
2. Tương tác chuột & Phím (Mouse/Keyboard),clickLinkText,String linkText
2. Tương tác chuột & Phím (Mouse/Keyboard),dragAndDrop,"By fromElement, By toElement"
2. Tương tác chuột & Phím (Mouse/Keyboard),dragAndDropHTML5,"By fromElement, By toElement"
2. Tương tác chuột & Phím (Mouse/Keyboard),dragAndDropToOffset,"By fromElement, int X, int Y"
2. Tương tác chuột & Phím (Mouse/Keyboard),hoverOnElement,By by
2. Tương tác chuột & Phím (Mouse/Keyboard),rightClickElement,By by
3. Lựa chọn (Dropdown/Select),selectOptionByIndex,"By by, int index"
3. Lựa chọn (Dropdown/Select),selectOptionByText,"By by, String text"
3. Lựa chọn (Dropdown/Select),selectOptionByValue,"By by, String value"
3. Lựa chọn (Dropdown/Select),selectOptionDynamic,"By objectListItem, String text"
4. Iframe / Window / Alert,switchToDefaultContent,
4. Iframe / Window / Alert,switchToFrameByElement,By by
4. Iframe / Window / Alert,switchToFrameByIdOrName,String IdOrName
4. Iframe / Window / Alert,switchToFrameByIndex,int index
4. Iframe / Window / Alert,switchToLastWindow,
4. Iframe / Window / Alert,switchToMainWindow,
4. Iframe / Window / Alert,switchToMainWindow,String originalWindow
4. Iframe / Window / Alert,switchToWindowOrTabByPosition,int position
4. Iframe / Window / Alert,switchToWindowOrTabByTitle,String title
4. Iframe / Window / Alert,switchToWindowOrTabByUrl,String url
5. Lấy dữ liệu (Get Data),getAttributeElement,"By by, String attributeName"
5. Lấy dữ liệu (Get Data),getCssValueElement,"By by, String cssName"
5. Lấy dữ liệu (Get Data),getCurrentUrl,
5. Lấy dữ liệu (Get Data),getHTML5MessageField,By by
5. Lấy dữ liệu (Get Data),getJsExecutor,
5. Lấy dữ liệu (Get Data),getListElementsText,By by
5. Lấy dữ liệu (Get Data),getLocationElement,By by
5. Lấy dữ liệu (Get Data),getOptionDynamicTotal,By objectListItem
5. Lấy dữ liệu (Get Data),getPageTitle,
5. Lấy dữ liệu (Get Data),getPathDownloadDirectory,
5. Lấy dữ liệu (Get Data),getSizeElement,By by
5. Lấy dữ liệu (Get Data),getTagNameElement,By by
5. Lấy dữ liệu (Get Data),getTextAlert,
5. Lấy dữ liệu (Get Data),getTextElement,By by
5. Lấy dữ liệu (Get Data),getToUrlAuthentication,"String url, String username, String password"
5. Lấy dữ liệu (Get Data),getValueTableByColumn,int column
5. Lấy dữ liệu (Get Data),getWebElement,By by
5. Lấy dữ liệu (Get Data),getWebElements,By by
6. Chờ đợi (Wait / Sync),waitForAlertPresent,
