Nhom Element,Loai Element,Ham tuong ung (WebUI.java),Chuc nang / Y nghia
1. Nhap lieu,Text Box / Text Area,"setText(By, String)",Nhap van ban vao o text
1. Nhap lieu,Text Box / Text Area,clearText(By),Xoa trang van ban trong o text
1. Nhap lieu,Text Box / Text Area,"clearAndFillText(By, String)",Xoa trang sau do nhap van ban moi
1. Nhap lieu,Text Box / Text Area,getTextElement(By),Lay chu hien thi ben trong o text/element
1. Nhap lieu,Bao quat,"getAttributeElement(By, String)","Lay gia tri cua mot thuoc tinh (VD: placeholder, value)"
2. Tuong tac,Button / Link (a) / Image,clickElement(By),Click chuot trai vao phan tu (chuan Selenium)
2. Tuong tac,Button / Link (a) / Image,clickElementWithJs(By),Click ngam bang Javascript (dung khi bi che khuat)
2. Tuong tac,Button / Link (a) / Image,rightClickElement(By),Click chuot phai
2. Tuong tac,Button / Link (a) / Image,doubleClickElement(By),Click dup chuot
2. Tuong tac,Dropdown Menu / Tooltip,hoverOnElement(By),Re chuot (Hover) len phan tu
3. Lua chon,Checkbox / Radio Button,verifyElementChecked(By),Kiem tra xem o checkbox/radio da duoc tich chon chua
3. Lua chon,Dropdown (the <select>),"selectOptionByText(By, String)",Chon gia tri trong Dropdown theo text hien thi
3. Lua chon,Dropdown (the <select>),"selectOptionByValue(By, String)",Chon gia tri trong Dropdown theo thuoc tinh value
3. Lua chon,Dropdown (the <select>),"selectOptionByIndex(By, int)",Chon gia tri trong Dropdown theo so thu tu (index)
3. Lua chon,Dropdown tu che (Dynamic),"selectOptionDynamic(By, String)",Chon gia tri trong Dropdown khong dung the <select>
4. Tep tin,File Upload (Input file),"uploadFileWithSendKeys(By, String)",Tai file len he thong (truyen duong dan tuyet doi)
5. Nang cao,Alert (Popup canh bao JS),acceptAlert() / dismissAlert(),Bam OK hoac Cancel tren popup canh bao cua trinh duyet
5. Nang cao,Alert (Popup canh bao JS),setTextAlert(String),Nhap chu vao o prompt cua Alert
5. Nang cao,Iframe,switchToFrameByIndex/Id(),Chuyen huong dieu khien vao ben trong mot Iframe
5. Nang cao,Window / Tab,switchToWindowOrTabByTitle(String),Chuyen sang mot tab moi hoac cua so moi
6. Cho doi,Tat ca Element,waitForElementVisible(By),Cho den khi element hien thi ro rang tren man hinh
6. Cho doi,Tat ca Element,waitForElementClickable(By),Cho den khi co the click duoc vao element
6. Cho doi,Trang Web,waitForPageLoaded(),Cho trang web load xong toan bo DOM va Ajax
