"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1410","CRM_DASHBOARD_TC_003 - Kiểm tra điều hướng Sidebar đến trang Clients","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testNavigateSidebarToClients"
"","6464","CRM_PROJECTS_TC_029 - Tìm kiếm khi xóa trắng ô Search","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","testClearSearchInput"
"","2416","CRM_DASHBOARD_TC_006 - Kiểm tra điều hướng Sidebar đến trang Leads","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testNavigateSidebarToLeads"
"","1560","CRM_DASHBOARD_TC_018 - Kiểm tra click widget 'Due' điều hướng đúng","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testClickDueNavigates"
"","5967","CRM_PROJECTS_TC_028 - Tìm kiếm dự án với từ khóa không tồn tại (Negative)","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","testSearchProjectNonExistentKeyword"
"","16652","Login_Error_Case","CRM Login Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.LoginTest","SignIn Test","com.practiceCRM.projects.crm.testcases.LoginTest","signInFalseWithDataProvider"
"","3280","CRM_PROJECTS_TC_043 - Kết hợp 2 bộ lọc: Status=Open + Search theo project đã tạo","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","testCombineFilterStatusAndSearch"
"","1757","CRM_DASHBOARD_TC_010 - Kiểm tra điều hướng Sidebar sub-menu Recruitments > Candidates","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testNavigateSidebarRecruitmentsToCandidate"
"","243","CRM_DASHBOARD_TC_033 - Kiểm tra widget Project Timeline hiển thị lịch sử hoạt động","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testProjectTimelineDisplayed"
"","8552","CRM_PROJECTS_TC_IMP_012+013 - Import dự án với dữ liệu chuẩn hóa: Trim khoảng trắng thừa đầu cuối và hiển thị đúng ký tự Tiếng Việt Unicode có dấu","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","testImportProject_TrimSpaceAndUnicodeData"
"","4335","CRM_PROJECTS_TC_046 - Kết hợp 2 bộ lọc: Label + Search theo project mình tạo","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","testCombineFilterLabelAndSearch"
"","6737","CRM_PROJECTS_TC_014 - Kiểm tra Label hiển thị đồng bộ ở Manage Modal, Filter Top bar, Add Modal, Edit Modal","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","testVerifyLabelDisplayedAcrossAllComponents"
"","2397","CRM_PROJECTS_TC_005 - Thêm mới dự án thất bại khi để trống trường Title bắt buộc","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","testAddNewProjectEmptyTitleValidation"
"","1594","CRM_PROJECTS_TC_076 - Thay đổi số lượng bản ghi hiển thị 1 trang (10, 25, 50, All) và kiểm tra phân trang cập nhật đúng","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectGridTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectGridTest","testPagination_DynamicPageLengthUpdate"
"","466","CRM_DASHBOARD_TC_019 - Kiểm tra widget Projects Overview hiển thị đủ 3 trạng thái","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testProjectsOverviewDisplaysAllStatuses"
"","315","CRM_DASHBOARD_TC_029 - Kiểm tra widget All Tasks Overview hiển thị đủ các trạng thái","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testAllTasksOverviewDisplaysAllStatuses"
"","341","CRM_DASHBOARD_TC_011 - Kiểm tra nút Clock Out hiển thị trên Top Bar khi đã Clock In","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testClockOutButtonDisplayed"
"","2573","CRM_PROJECTS_TC_047 - Kết hợp 2 bộ lọc: Label + Deadline","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","testCombineFilterLabelAndDeadline"
"","17420","Login_Happy_Case","CRM Login Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.LoginTest","SignIn Test","com.practiceCRM.projects.crm.testcases.LoginTest","signInSuccessWithDataProvider"
"","724","CRM_DASHBOARD_TC_013 - Kiểm tra widget 'My open tasks' hiển thị số nguyên","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testMyOpenTasksCountIsInteger"
"","3145","CRM_PROJECTS_TC_066 - Mở modal Edit Project từ nút Action","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","testOpenEditProjectModal"
"","1772","CRM_DASHBOARD_TC_025 - Kiểm tra click 'Fully paid' điều hướng đúng","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testClickInvoiceFullyPaidNavigates"
"","2251","CRM_DASHBOARD_TC_009 - Kiểm tra điều hướng Sidebar sub-menu Team > Team members","CRM Dashboard Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.DashboardTest","DashBoard Test","com.practiceCRM.projects.crm.testcases.DashboardTest","testNavigateSidebarTeamToTeamMembers"
"","2406","CRM_PROJECTS_TC_067 - Cập nhật thông tin dự án thành công","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","testUpdateProjectSuccess"
"","2412","CRM_PROJECTS_TC_068 - Mở pop-up xác nhận xóa dự án khi click nút Delete","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectCRUDTest","testOpenDeleteProjectModal"
"","13637","Login_Error_Case","CRM Login Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.LoginTest","SignIn Test","com.practiceCRM.projects.crm.testcases.LoginTest","signInFalseWithDataProvider"
"","6547","CRM_PROJECTS_TC_052 - Kết hợp đầy đủ 4 bộ lọc (All Filters)","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","testCombineAllFilters"
"","13866","CRM_PROJECTS_TC_041 - Lọc dự án theo các tùy chọn Start date định sẵn (This Month, Last Month, This Year, Last Year, Next 7 Days, Next Month)","CRM Projects Test Suite","2026-09-18","passed","2026-09-18","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","Projects Test - Parallel Methods","com.practiceCRM.projects.crm.testcases.projects.ProjectFilterTest","testFilterStartDateOptions"
